name,addr,lat,lng
星辰,台南市新化區全興里竹子腳177-2號,23.02776694,120.2930836
德發,台南市仁德區中正路三段42號,22.97298839,120.2523051
上營,台南市下營區中營里1286號,23.22088,120.27295
東勝,台南市東山區東山里235號,23.32981,120.40269
安佃,台南市安南區海佃路四段548號,23.0646075,120.1720999
興農,台南市善化區興農路4號,23.13297719,120.2837063
國平,台南市安平區平通里國平路381號,22.99371479,120.1713903
豐盛,台南市北區勝利路192號194號,23.00394396,120.2188317
致聖,台南市東區北門路二段12號,22.99772297,120.2123294
武德,台南市中西區青年路134號,22.99188068,120.2092355
怡安,台南市安南區安和路二段27號之2,23.03670264,120.2138339
林頂,台南市仁德區中山路155號,22.97015464,120.2643272
東江,台南市永康區尚頂里23鄰南台街43號1樓,23.02234767,120.22293
新憲,台南市新營區埤寮里中正路530號,23.32957991,120.3164177
新東育,台南市東區大學路西段53號1樓2樓,22.99642674,120.2170038
高長,台南市新市區新和里仁愛街171號,23.07457456,120.2932225
中洲,台南市仁德區中洲里中洲276-16號276-17號,22.90776659,120.2511819
烏山頭,台南市官田區湖山里98-4號98-5號,23.2116104,120.3513828
六分寮,台南市善化區田寮里六分寮74-1號74-2號,23.15294088,120.3008704
科工,台南市安南區鹽田里鹽田路2號,23.03519619,120.1486034
仁灣,台南市永康區大仁街11巷1號,23.00048274,120.2567495
正旺,台南市南區明興路917號,22.93352657,120.1822684
道成,台南市北區北門路二段500號,23.00935023,120.2158575
保東,台南市關廟區關新路二段7號,22.996413,120.3081697
康榮,台南市北區實踐里北門路三段2號,23.01298616,120.2170479
鈺善,台南市白河區昇安里1鄰三間厝2-56號,23.36354931,120.4327392
本興,台南市安南區公學路四段180號,23.0669714,120.1760727
奇勝,台南市仁德區新田里勝利路139號,22.95625977,120.2612989
永新,台南市永康區中正北路122號,23.04151348,120.2424704
慶東,台南市東區青年路416號,22.99120356,120.2165584
國宅,台南市南區新興路441號,22.97510565,120.1896822
祥發,台南市東區裕豐街187號1樓,22.9884155,120.2273627
好富,台南市東區富強里裕農路320號,22.98699749,120.2296417
文安,台南市仁德區文賢路一段576號,22.93100961,120.2309588
永嘉,台南市永康區二王路139號,23.0187695,120.2488426
立東,台南市東區東門路三段220號,22.97734859,120.2344532
裕興,台南市東區復興里裕文路76號1樓,22.98263152,120.2416418
